Frame number,6894
First frame,1
Point frequency,200
Analog frequency,1000

Time,Force.Fx1,Force.Fy1,Force.Fz1,Force.Fx2,Force.Fy2,Force.Fz2,accel.x,accel.y,accel.z,accel.x,accel.y,accel.z
s,N,N,N,N,N,N,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�
0.033,-4.79496,46.6469,-65.8471,-2.64919e-20,5.02555e-20,-1.31196e-19,-1.46461,10.4103,-3.90375,-8.24065,28.7322,15.0851
0.034,-1.31229,43.1108,-58.3168,-5.16716e-20,8.7505e-20,-3.00197e-19,-1.67576,10.4875,-4.07996,-7.88454,27.8088,15.6806
0.035,1.34775,40.8531,-51.7249,-8.4751e-20,1.34147e-19,-5.31887e-19,-1.909,10.5438,-4.25529,-7.50422,26.7444,16.2134
0.036,2.89118,39.4866,-46.2252,-1.24711e-19,1.87452e-19,-8.24565e-19,-2.17322,10.5777,-4.43402,-7.13023,25.5454,16.6466
0.037,3.21321,38.4532,-41.7141,-1.68352e-19,2.41294e-19,-1.16263e-18,-2.47987,10.5897,-4.6199,-6.78895,24.2261,16.9535
0.038,2.47247,37.1685,-37.8239,-2.09344e-19,2.84903e-19,-1.50952e-18,-2.84132,10.5816,-4.81371,-6.4989,22.8071,17.1248
0.039,1.06198,35.148,-34.0458,-2.37232e-19,3.01674e-19,-1.79984e-18,-3.2694,10.5561,-5.01186,-6.26873,21.3116,17.1716
0.04,-0.514878,32.0932,-29.9359,-2.36541e-19,2.68285e-19,-1.93157e-18,-3.77434,10.5161,-5.20728,-6.09651,19.7626,17.1212
0.041,-1.8088,27.9458,-25.2874,-1.86291e-19,1.5458e-19,-1.76014e-18,-4.36363,10.4643,-5.39275,-5.97052,18.1814,17.0095
0.042,-2.56416,22.9285,-20.2036,-6.02601e-20,-7.5239e-20,-1.09698e-18,-5.0411,10.4025,-5.5651,-5.87119,16.588,16.8725
0.043,-2.76582,17.5361,-15.0607,1.71438e-19,-4.59356e-19,2.83911e-19,-5.80602,10.3321,-5.72788,-5.77328,15.0038,16.7407
0.044,-2.56306,12.38,-10.3365,5.38874e-19,-1.03219e-18,2.62679e-18,-6.65225,10.2539,-5.89067,-5.64796,13.4548,16.6346
0.045,-2.1409,7.93943,-6.38798,1.0662e-18,-1.81446e-18,6.15701e-18,-7.56763,10.1687,-6.06555,-5.46504,11.9727,16.5591
0.046,-1.64293,4.43976,-3.35616,1.76228e-18,-2.7988e-18,1.10203e-17,-8.53425,10.0776,-6.26309,-5.19546,10.5939,16.4985
0.047,-1.16074,1.89829,-1.21286,2.60752e-18,-3.93045e-18,1.71937e-17,-9.52991,9.98211,-6.49,-4.81417,9.35361,16.4158
0.048,-0.745115,0.210744,0.164028,3.53692e-18,-5.08368e-18,2.43655e-17,-10.5304,9.88472,-6.74942,-4.30245,8.27768,16.2602
0.049,-0.417316,-0.784638,0.936117,4.41996e-18,-6.03528e-18,3.17867e-17,-11.5125,9.78932,-7.04267,-3.64935,7.3756,15.9801
0.05,-0.179093,-1.26339,1.26842,5.03927e-18,-6.43887e-18,3.81028e-17,-12.4563,9.70106,-7.37056,-2.85272,6.63862,15.5382
0.051,-0.0207735,-1.38801,1.30825,5.07144e-18,-5.80562e-18,4.11871e-17,-13.3473,9.62608,-7.73333,-1.92089,6.0452,14.9221
0.052,0.072729,-1.29418,1.17518,4.07576e-18,-3.50033e-18,3.80107e-17,-14.1779,9.57104,-8.12965,-0.874871,5.56965,14.151
0.053,0.117817,-1.08594,0.958556,1.49882e-18,1.23504e-18,2.4604e-17,-14.9476,9.54224,-8.55593,0.250894,5.18934,13.2751
0.054,0.129694,-0.836734,0.719725,-3.29399e-18,9.21506e-18,-3.81609e-18,-15.6621,9.54474,-9.00658,1.41172,4.888,12.3668
0.055,0.12106,-0.593695,0.496599,-1.0947e-17,2.11837e-17,-5.24551e-17,-16.3327,9.58161,-9.4753,2.55931,4.65518,11.5037
0.056,0.101662,-0.383176,0.309105,-2.19876e-17,3.76076e-17,-1.26175e-16,-16.9742,9.65336,-9.95724,3.64851,4.48243,10.7487
